LOG_NO,COMPLAINT_DATE,ASSIGNMENT,CASE_TYPE,CURRENT_STATUS,CURRENT_CATEGORY,FINDING_CODE,POLICE_SHOOTING,BEAT,RACE_OF_COMPLAINANT,SEX_OF_COMPLAINANT,AGE_OF_COMPLAINANT,COMPLAINT_HOUR,COMPLAINT_DAY,COMPLAINT_MONTH
1034913,03/26/2010 10:08:02 AM,IPRA,Complaint,Closed,Firearm Discharge - Hits,No Finding,Yes,624,African American / Black,Male,20-29,10,6,3
1034915,03/26/2010 11:32:37 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,421,African American / Black,Male,50-59,11,6,3
1034915,03/26/2010 11:32:37 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,421,African American / Black,Male,30-39,11,6,3
1034924,03/26/2010 02:00:55 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,733,African American / Black,Male,30-39,14,6,3
1034935,03/26/2010 04:40:12 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,2112,African American / Black,Male,40-49,16,6,3
1034938,03/26/2010 04:49:31 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,633,African American / Black,Male,30-39,16,6,3
1034939,03/26/2010 04:51:18 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,211,African American / Black,Male,40-49,16,6,3
1034939,03/26/2010 04:51:18 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,211,African American / Black,Female,40-49,16,6,3
1034939,03/26/2010 04:51:18 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,211,African American / Black,Female,20-29,16,6,3
1034939,03/26/2010 04:51:18 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,211,African American / Black,Male,40-49,16,6,3
1034941,03/26/2010 06:53:54 PM,IPRA,Complaint,Closed,Miscellaneous,No Finding,No,132,Hispanic,Male,40-49,18,6,3
1034942,03/27/2010 12:34:41 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,823,Hispanic,Male,0-19,0,7,3
1034943,03/27/2010 02:20:15 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,334,African American / Black,Male,20-29,2,7,3
1034944,03/27/2010 03:56:26 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,1524,African American / Black,Male,20-29,3,7,3
1034952,03/27/2010 12:01:18 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1121,Hispanic,Male,50-59,12,7,3
1034955,03/27/2010 01:49:48 PM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,1512,African American / Black,Female,20-29,13,7,3
1034957,03/27/2010 03:51:21 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,522,African American / Black,Male,40-49,15,7,3
1034963,03/28/2010 12:24:09 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,1331,Hispanic,Male,20-29,0,1,3
1034967,03/28/2010 01:48:43 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,2521,Hispanic,Male,0-19,13,1,3
1034972,03/28/2010 06:35:22 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,213,African American / Black,Male,50-59,18,1,3
1034972,03/28/2010 06:35:22 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,213,White,Male,30-39,18,1,3
1034974,03/28/2010 07:34:11 PM,IPRA,Notification,Closed,Firearm Discharge at Animal,No Finding,No,631,African American / Black,Female,20-29,19,1,3
1034977,03/29/2010 11:14:17 AM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,1523,African American / Black,Male,30-39,11,2,3
1034978,03/29/2010 11:57:53 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,623,African American / Black,Male,30-39,11,2,3
1034978,03/29/2010 11:57:53 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,623,African American / Black,Male,30-39,11,2,3
1034985,03/29/2010 02:49:45 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,824,African American / Black,Male,20-29,14,2,3
1034997,03/29/2010 09:25:52 PM,IPRA,Complaint,Closed,Firearm Discharge - Hits,No Finding,Yes,2531,African American / Black,Male,20-29,21,2,3
1035000,03/29/2010 11:16:48 PM,IPRA,Complaint,Closed,Verbal Abuse,UNFOUNDED,No,621,African American / Black,Female,20-29,23,2,3
1035002,03/30/2010 01:55:56 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,2222,African American / Black,Male,20-29,1,3,3
1035003,03/30/2010 02:21:58 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,623,African American / Black,Male,30-39,2,3,3
1035005,03/30/2010 08:09:48 AM,IPRA,Complaint,Closed,Excessive Force,SUSTAINED,No,432,African American / Black,Male,30-39,8,3,3
1035005,03/30/2010 08:09:48 AM,IPRA,Complaint,Closed,Excessive Force,SUSTAINED,No,432,Hispanic,Male,0-19,8,3,3
1035005,03/30/2010 08:09:48 AM,IPRA,Complaint,Closed,Excessive Force,SUSTAINED,No,432,Hispanic,Male,0-19,8,3,3
1035010,03/30/2010 12:41:11 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,323,African American / Black,Male,20-29,12,3,3
1035026,03/30/2010 09:54:36 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,522,African American / Black,Male,0-19,21,3,3
1035026,03/30/2010 09:54:36 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,522,African American / Black,Male,0-19,21,3,3
1035026,03/30/2010 09:54:36 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,522,African American / Black,Female,30-39,21,3,3
1035027,03/30/2010 10:04:14 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,2413,White,Male,40-49,22,3,3
1035028,03/30/2010 10:28:56 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,632,African American / Black,Male,20-29,22,3,3
1035029,03/31/2010 12:07:10 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,312,African American / Black,Male,30-39,0,4,3
1035030,03/31/2010 02:24:55 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,1121,African American / Black,Male,30-39,2,4,3
1035031,03/31/2010 07:47:21 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1134,African American / Black,Male,0-19,7,4,3
1035033,03/31/2010 09:34:36 AM,IPRA,Complaint,Closed,Death or Injury In Custody,No Finding,No,1134,African American / Black,Male,0-19,9,4,3
1035036,03/31/2010 11:32:35 AM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,2011,African American / Black,Male,0-19,11,4,3
1035047,03/31/2010 05:06:23 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,513,African American / Black,Male,30-39,17,4,3
1035049,03/31/2010 06:31:08 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,621 | 624,African American / Black,Male,40-49,18,4,3
1035051,03/31/2010 07:07:12 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,1112,Hispanic,Female,40-49,19,4,3
1035056,04/01/2010 01:03:48 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,313,African American / Black,Male,30-39,1,5,4
1035057,04/01/2010 01:06:22 AM,IPRA,Complaint,Closed,Firearm Discharge - Hits,No Finding,Yes,1524,African American / Black,Male,20-29,1,5,4
1035058,04/01/2010 07:24:02 AM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,423,African American / Black,Female,40-49,7,5,4
1035058,04/01/2010 07:24:02 AM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,423,African American / Black,Male,0-19,7,5,4
1035064,04/01/2010 11:57:44 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,933,African American / Black,Male,30-39,11,5,4
1035065,04/01/2010 12:44:07 PM,IPRA,Complaint,Closed,Verbal Abuse,NO AFFIDAVIT,No,423,African American / Black,Male,20-29,12,5,4
1035070,04/01/2010 02:09:15 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,1723,African American / Black,Male,30-39,14,5,4
1035076,04/01/2010 07:22:30 PM,IPRA,Complaint,Closed,Verbal Abuse,NO AFFIDAVIT,No,1833,African American / Black,Female,30-39,19,5,4
1035076,04/01/2010 07:22:30 PM,IPRA,Complaint,Closed,Verbal Abuse,NO AFFIDAVIT,No,1833,African American / Black,Male,40-49,19,5,4
1035077,04/01/2010 07:32:55 PM,IPRA,Notification,Closed,OC Discharge,No Finding,No,1533,African American / Black,Male,20-29,19,5,4
1035082,04/02/2010 01:44:03 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,725,African American / Black,Male,30-39,1,6,4
1035085,04/02/2010 07:58:46 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,522,African American / Black,Male,20-29,7,6,4
1035087,04/02/2010 09:10:02 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,823,African American / Black,Female,30-39,9,6,4
1035092,04/02/2010 10:38:32 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1115,African American / Black,Male,0-19,10,6,4
1035092,04/02/2010 10:38:32 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1115,African American / Black,Female,20-29,10,6,4
1035097,04/02/2010 11:48:11 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,725,African American / Black,Male,30-39,11,6,4
1035099,04/02/2010 12:13:22 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,733,African American / Black,Male,20-29,12,6,4
1035099,04/02/2010 12:13:22 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,733,African American / Black,Female,20-29,12,6,4
1035100,04/02/2010 01:15:50 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,733,African American / Black,Male,20-29,13,6,4
1035100,04/02/2010 01:15:50 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,733,African American / Black,Female,20-29,13,6,4
1035100,04/02/2010 01:15:50 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,733,African American / Black,Female,20-29,13,6,4
1035103,04/02/2010 04:50:33 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1822 | 1824,African American / Black,Male,20-29,16,6,4
1035105,04/02/2010 05:21:02 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1831,Hispanic,Male,30-39,17,6,4
1035105,04/02/2010 05:21:02 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1831,Hispanic,Female,30-39,17,6,4
1035116,04/03/2010 12:21:37 AM,IPRA,Complaint,Closed,Firearm Discharge - Hits,No Finding,Yes,1121,African American / Black,Male,20-29,0,7,4
1035117,04/03/2010 12:50:53 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,332,African American / Black,Male,20-29,0,7,4
1035119,04/03/2010 05:39:13 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,631,African American / Black,Male,20-29,5,7,4
1035123,04/03/2010 10:33:18 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,2424,Hispanic,Male,20-29,10,7,4
1035127,04/03/2010 11:54:57 AM,IPRA,Complaint,Closed,Firearm Discharge - Hits,No Finding,Yes,531,African American / Black,Male,50-59,11,7,4
1035129,04/03/2010 01:58:47 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,931,Hispanic,Female,0-19,13,7,4
1035129,04/03/2010 01:58:47 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,931,African American / Black,Female,20-29,13,7,4
1035129,04/03/2010 01:58:47 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,931,African American / Black,Male,20-29,13,7,4
1035129,04/03/2010 01:58:47 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,931,African American / Black,Male,0-19,13,7,4
1035140,04/04/2010 02:56:26 AM,IPRA,Complaint,Closed,Death or Injury In Custody,No Finding,No,232,Asian or Pacific Islander,Female,20-29,2,1,4
1035141,04/04/2010 03:37:44 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,823,Hispanic,Male,0-19,3,1,4
1035142,04/04/2010 07:42:59 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,2211,White,Male,30-39,7,1,4
1035144,04/04/2010 11:28:17 AM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NO AFFIDAVIT,No,1924,White,Male,0-19,11,1,4
1035147,04/04/2010 01:08:36 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NO AFFIDAVIT,No,1011,African American / Black,Female,0-19,13,1,4
1035152,04/04/2010 11:32:41 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,533 | 531,African American / Black,Female,30-39,23,1,4
1035152,04/04/2010 11:32:41 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,533 | 531,African American / Black,Female,0-19,23,1,4
1035152,04/04/2010 11:32:41 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,533 | 531,African American / Black,Male,0-19,23,1,4
1035152,04/04/2010 11:32:41 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,533 | 531,African American / Black,Female,50-59,23,1,4
1035155,04/05/2010 10:30:58 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,714,African American / Black,Male,30-39,10,2,4
1035155,04/05/2010 10:30:58 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,714,African American / Black,Female,20-29,10,2,4
1035159,04/05/2010 12:01:41 PM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,624,African American / Black,Male,20-29,12,2,4
1035160,04/05/2010 12:56:04 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NOT SUSTAINED,No,725,African American / Black,Male,20-29,12,2,4
1035161,04/05/2010 01:18:35 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,1533,African American / Black,Male,30-39,13,2,4
1035172,04/05/2010 06:18:20 PM,IPRA,Complaint,Closed,Verbal Abuse,NO AFFIDAVIT,No,1822 | 1834,Hispanic,Male,30-39,18,2,4
1035172,04/05/2010 06:18:20 PM,IPRA,Complaint,Closed,Verbal Abuse,NO AFFIDAVIT,No,1822 | 1834,Hispanic,Male,20-29,18,2,4
1035177,04/06/2010 12:05:37 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,1722,Hispanic,Male,0-19,0,3,4
1035184,04/06/2010 11:41:58 AM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,2521 | 2515,Hispanic,Male,30-39,11,3,4
1035185,04/06/2010 11:50:51 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,321,African American / Black,Male,30-39,11,3,4
1035189,04/06/2010 12:27:44 PM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,622 | 623,African American / Black,Male,0-19,12,3,4
1035192,04/06/2010 01:54:09 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,823,African American / Black,Female,40-49,13,3,4
1035194,04/06/2010 02:02:43 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,312,African American / Black,Male,30-39,14,3,4
1035196,04/06/2010 02:54:56 PM,IPRA,Complaint,Closed,Verbal Abuse,SUSTAINED,No,2212,African American / Black,Female,40-49,14,3,4
1035203,04/06/2010 06:37:54 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,513,African American / Black,Male,20-29,18,3,4
1035204,04/06/2010 06:44:50 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,1512,African American / Black,Male,0-19,18,3,4
1035211,04/07/2010 02:23:36 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,713,African American / Black,Female,20-29,2,4,4
1035213,04/07/2010 06:13:57 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1313,African American / Black,Male,30-39,6,4,4
1035213,04/07/2010 06:13:57 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1313,African American / Black,Male,20-29,6,4,4
1035213,04/07/2010 06:13:57 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1313,African American / Black,Female,40-49,6,4,4
1035215,04/07/2010 08:34:55 AM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,712,African American / Black,Male,40-49,8,4,4
1035220,04/07/2010 11:11:53 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1622,Hispanic,Male,0-19,11,4,4
1035221,04/07/2010 11:51:55 AM,IPRA,Complaint,Closed,Domestic Violence,No Finding,No,1611,White,Male,40-49,11,4,4
1035225,04/07/2010 01:52:35 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,711,African American / Black,Female,0-19,13,4,4
1035226,04/07/2010 02:38:34 PM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,2433 | 2432,African American / Black,Male,40-49,14,4,4
1035254,04/08/2010 12:34:59 PM,IPRA,Complaint,Closed,Coercion,NO AFFIDAVIT,No,433,White,Female,40-49,12,5,4
1035257,04/08/2010 02:12:28 PM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,223,African American / Black,Female,20-29,14,5,4
1035261,04/08/2010 03:14:09 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,2033,White,Male,40-49,15,5,4
1035262,04/08/2010 04:53:32 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,2411,African American / Black,Male,30-39,16,5,4
1035268,04/08/2010 08:30:59 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,725,African American / Black,Female,20-29,20,5,4
1035268,04/08/2010 08:30:59 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,725,African American / Black,Female,20-29,20,5,4
1035269,04/08/2010 10:01:47 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,414,African American / Black,Male,20-29,22,5,4
1035271,04/09/2010 05:29:42 AM,IPRA,Complaint,Closed,Miscellaneous,No Finding,No,531,African American / Black,Male,40-49,5,6,4
1035272,04/09/2010 07:40:20 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,422,African American / Black,Male,40-49,7,6,4
1035275,04/09/2010 09:58:14 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,422,African American / Black,Male,20-29,9,6,4
1035277,04/09/2010 10:34:32 AM,IPRA,Complaint,Closed,Firearm Discharge - Hits,NOT SUSTAINED,No,811,Hispanic,Male,20-29,10,6,4
1035279,04/09/2010 11:18:13 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1021,African American / Black,Female,0-19,11,6,4
1035281,04/09/2010 11:46:14 AM,IPRA,Complaint,Closed,Verbal Abuse,NO AFFIDAVIT,No,825,African American / Black,Female,40-49,11,6,4
1035284,04/09/2010 03:50:21 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NOT SUSTAINED,No,713,African American / Black,Male,30-39,15,6,4
1035288,04/09/2010 04:33:16 PM,IPRA,Complaint,Closed,Miscellaneous,SUSTAINED,No,1533,African American / Black,Female,0-19,16,6,4
1035295,04/09/2010 06:21:15 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1134 | 1211,African American / Black,Male,30-39,18,6,4
1035298,04/09/2010 07:55:05 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,2521,African American / Black,Male,30-39,19,6,4
1035302,04/10/2010 03:41:33 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,2531,African American / Black,Male,0-19,3,7,4
1035314,04/10/2010 02:34:04 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,2211,African American / Black,Male,70+,14,7,4
1035316,04/10/2010 05:18:12 PM,IPRA,Complaint,Closed,Verbal Abuse,NO AFFIDAVIT,No,321,African American / Black,Male,50-59,17,7,4
1035317,04/10/2010 06:30:36 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1032,Hispanic,Female,20-29,18,7,4
1035317,04/10/2010 06:30:36 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1032,Hispanic,Male,20-29,18,7,4
1035317,04/10/2010 06:30:36 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1032,Hispanic,Male,20-29,18,7,4
1035318,04/10/2010 07:07:49 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,713,African American / Black,Male,20-29,19,7,4
1035321,04/10/2010 08:23:52 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,132,Hispanic,Male,20-29,20,7,4
1035326,04/11/2010 02:55:46 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,612,African American / Black,Male,30-39,2,1,4
1035327,04/11/2010 03:05:04 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,124,White,Male,30-39,3,1,4
1035328,04/11/2010 04:34:24 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,2332,Hispanic,Male,30-39,4,1,4
1035331,04/11/2010 10:12:11 AM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,1913 | 1923,Hispanic,Male,20-29,10,1,4
1035331,04/11/2010 10:12:11 AM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,1913 | 1923,Hispanic,Male,20-29,10,1,4
1035332,04/11/2010 10:48:57 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,112,Hispanic,Male,40-49,10,1,4
1035335,04/11/2010 12:56:46 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,112,Hispanic,Male,40-49,12,1,4
1035336,04/11/2010 01:44:06 PM,IPRA,Complaint,Closed,Miscellaneous,No Finding,No,531,African American / Black,Male,40-49,13,1,4
1035343,04/11/2010 11:52:03 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,312,African American / Black,Male,30-39,23,1,4
1035346,04/12/2010 03:21:01 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,524,African American / Black,Male,30-39,3,2,4
1035352,04/12/2010 10:17:17 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1134,African American / Black,Male,30-39,10,2,4
1035357,04/12/2010 01:12:13 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NO AFFIDAVIT,No,513,African American / Black,Male,20-29,13,2,4
1035357,04/12/2010 01:12:13 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NO AFFIDAVIT,No,513,African American / Black,Male,20-29,13,2,4
1035358,04/12/2010 02:19:25 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,624,African American / Black,Male,50-59,14,2,4
1035366,04/12/2010 04:34:04 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,1122,African American / Black,Male,30-39,16,2,4
1035367,04/12/2010 04:37:38 PM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,1115,African American / Black,Male,30-39,16,2,4
1035368,04/12/2010 04:41:02 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,2422,African American / Black,Female,0-19,16,2,4
1035370,04/12/2010 06:39:57 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,734,African American / Black,Male,30-39,18,2,4
1035373,04/12/2010 07:58:15 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,313,African American / Black,Female,40-49,19,2,4
1035376,04/12/2010 09:36:07 PM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,1114,Hispanic,Male,20-29,21,2,4
1035379,04/12/2010 10:00:14 PM,IPRA,Complaint,Closed,Miscellaneous,No Finding,No,0,African American / Black,Male,30-39,22,2,4
1035379,04/12/2010 10:00:14 PM,IPRA,Complaint,Closed,Miscellaneous,No Finding,No,0,African American / Black,Male,30-39,22,2,4
1035379,04/12/2010 10:00:14 PM,IPRA,Complaint,Closed,Miscellaneous,No Finding,No,0,African American / Black,Male,30-39,22,2,4
1035382,04/13/2010 01:19:19 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,2535,Hispanic,Male,20-29,1,3,4
1035383,04/13/2010 02:46:35 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,2515,African American / Black,Male,0-19,2,3,4
1035392,04/13/2010 12:12:05 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NO AFFIDAVIT,No,1522,African American / Black,Male,30-39,12,3,4
1035392,04/13/2010 12:12:05 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NO AFFIDAVIT,No,1522,African American / Black,Male,20-29,12,3,4
1035392,04/13/2010 12:12:05 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NO AFFIDAVIT,No,1522,African American / Black,Female,40-49,12,3,4
1035396,04/13/2010 01:12:14 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NO AFFIDAVIT,No,713,African American / Black,Male,20-29,13,3,4
1035396,04/13/2010 01:12:14 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NO AFFIDAVIT,No,713,African American / Black,Female,30-39,13,3,4
1035410,04/13/2010 06:45:29 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,1822,African American / Black,Female,20-29,18,3,4
1035424,04/14/2010 12:20:18 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,1523,White,Female,40-49,12,4,4
1035431,04/14/2010 03:25:54 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,812,African American / Black,Male,20-29,15,4,4
1035435,04/14/2010 07:47:58 PM,IPRA,Notification,Closed,Firearm Discharge at Animal,No Finding,No,2211,White,Male,50-59,19,4,4
1035440,04/15/2010 01:49:53 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,825,African American / Black,Male,40-49,1,5,4
1035441,04/15/2010 02:14:58 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,1913,Hispanic,Male,20-29,2,5,4
1035442,04/15/2010 03:32:07 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,1524,African American / Black,Male,40-49,3,5,4
1035443,04/15/2010 07:06:58 AM,IPRA,Notification,Closed,Taser Notification,No Finding,No,2524,Hispanic,Male,20-29,7,5,4
1035453,04/15/2010 10:57:54 AM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NO AFFIDAVIT,No,1114,African American / Black,Male,20-29,10,5,4
1035454,04/15/2010 11:16:33 AM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,1111,African American / Black,Male,30-39,11,5,4
1035455,04/15/2010 12:08:14 PM,IPRA,Notification,Closed,Taser Notification,No Finding,No,512,African American / Black,Male,30-39,12,5,4
1035456,04/15/2010 12:46:08 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,2211,White,Male,20-29,12,5,4
1035456,04/15/2010 12:46:08 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,2211,White,Female,50-59,12,5,4
1035456,04/15/2010 12:46:08 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,2211,White,Male,20-29,12,5,4
1035456,04/15/2010 12:46:08 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,2211,White,Male,50-59,12,5,4
